split,roboflow_filename,game,clip,frame_name,frame_id,width,height,tracknet_visibility,tracknet_x,tracknet_y,tracknet_status,matched_tracknet,ball_xmin,ball_ymin,ball_xmax,ball_ymax,ball_cx,ball_cy,player_count,player_boxes,court_1,court_2,court_3,court_4,court_5,court_6,court_7,court_8,court_9,court_10,court_11,court_12,court_13,court_14,selected_orientation,direct_error,mirrored_error,selected_error,orientation_margin
train,game1-Clip10-0000_jpg.rf.671273720c4d945d90885fba938a4cd6.jpg,game1,Clip10,0000.jpg,0,1280,720,1,576,130,0,1,569.0,123,583.0,137,576.0,130.0,2,"582,93,624,176|893,464,1029,613","414.000,171.000","470.000,171.000","804.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","304.000,539.000","967.000,535.000","1078.000,534.000",direct,0.0,128.0,0.0,128.0
train,game1-Clip10-0001_jpg.rf.56bbc3a797b13b45b29dd23046537319.jpg,game1,Clip10,0001.jpg,1,1280,720,2,574,117,0,1,567.0,110,581.0,124,574.0,117.0,2,"579,92,623,176|893,462,1029,613","414.000,171.000","470.000,171.000","804.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","304.000,539.000","967.000,535.000","1078.000,534.000",direct,0.0,132.0,0.0,132.0
train,game1-Clip10-0002_jpg.rf.2783214d0b998bae6d9d9eddf7e61192.jpg,game1,Clip10,0002.jpg,2,1280,720,1,573,110,0,1,566.0,103,580.0,117,573.0,110.0,2,"583,91,624,176|893,461,1029,613","414.000,171.000","470.000,171.000","804.000,171.000","861.000,170.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","906.000,399.000","193.000,540.000","304.000,539.000","967.000,535.000","1078.000,534.000",direct,0.0,134.0,0.0,134.0
train,game1-Clip10-0003_jpg.rf.e5381cbe1401dc46fa5d4efde1b55504.jpg,game1,Clip10,0003.jpg,3,1280,720,1,573,101,0,1,566.0,94,580.0,108,573.0,101.0,2,"582.000,90.000,625.000,176.000|893.000,461.000,1029.000,613.000","414.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","968.000,535.000","1079.000,534.000",mirrored,134.0,0.0,0.0,134.0
train,game1-Clip10-0004_jpg.rf.39c55aecccb3459bf7e32a41f05566a1.jpg,game1,Clip10,0004.jpg,4,1280,720,2,575,91,0,1,568.0,84,582.0,98,575.0,91.0,2,"583,90,624,176|893,460,1029,613","414.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","968.000,535.000","1079.000,534.000",direct,0.0,130.0,0.0,130.0
train,game1-Clip10-0005_jpg.rf.54b938dbebc7311db5be9a4f38481dd4.jpg,game1,Clip10,0005.jpg,5,1280,720,2,576,82,0,1,569.0,75,583.0,89,576.0,82.0,2,"582,90,624,176|893,460,1029,613","414.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","449.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","968.000,535.000","1079.000,534.000",direct,0.0,128.0,0.0,128.0
train,game1-Clip10-0006_jpg.rf.d14b8cd43c01656ee81d397270f3290a.jpg,game1,Clip10,0006.jpg,6,1280,720,1,578,74,0,1,571.0,67,585.0,81,578.0,74.0,2,"582,88,624,176|893,460,1029,613","415.000,171.000","471.000,171.000","804.000,171.000","860.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,539.000","304.000,539.000","968.000,535.000","1079.000,534.000",direct,0.0,124.0,0.0,124.0
train,game1-Clip10-0007_jpg.rf.30610a58c743d1b1a840f4f7354c253c.jpg,game1,Clip10,0007.jpg,7,1280,720,1,580,66,0,1,573.0,59,587.0,73,580.0,66.0,2,"580.000,86.000,625.000,176.000|893.000,459.000,1029.000,613.000","415.000,171.000","470.000,171.000","804.000,171.000","860.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,539.000","304.000,539.000","968.000,535.000","1079.000,534.000",mirrored,120.0,0.0,0.0,120.0
train,game1-Clip10-0008_jpg.rf.b3e72ab324602327d2756b61b7dcfc44.jpg,game1,Clip10,0008.jpg,8,1280,720,1,580,59,0,1,573.0,52,587.0,66,580.0,59.0,2,"581,85,625,176|893,459,1028,613","415.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","968.000,535.000","1078.000,534.000",direct,0.0,120.0,0.0,120.0
train,game1-Clip10-0009_jpg.rf.e868d9f67b47c8c96622c8cd01c20dcc.jpg,game1,Clip10,0009.jpg,9,1280,720,1,582,54,0,1,575.0,47,589.0,61,582.0,54.0,2,"579,79,626,176|893,458,1028,613","415.000,171.000","470.000,171.000","804.000,171.000","861.000,171.000","450.000,219.000","637.000,219.000","826.000,219.000","368.000,401.000","637.000,400.000","907.000,399.000","193.000,540.000","305.000,539.000","967.000,535.000","1078.000,534.000",direct,0.0,116.0,0.0,116.0
