game,clip,samples
game1,Clip1,205
game1,Clip2,128
game1,Clip3,61
game1,Clip4,106
game1,Clip5,158
game1,Clip6,76
game1,Clip7,450
game1,Clip8,45
game1,Clip9,113
game1,Clip10,107
game1,Clip11,128
game1,Clip12,124
game1,Clip13,251
game2,Clip1,359
game2,Clip2,197
game2,Clip3,34
game2,Clip4,43
game2,Clip5,194
game2,Clip6,549
game2,Clip7,187
game2,Clip8,643
game3,Clip1,175
game3,Clip2,27
game3,Clip3,396
game3,Clip4,415
game3,Clip5,131
game3,Clip6,236
game3,Clip7,310
game3,Clip8,45
game3,Clip9,135
game4,Clip1,596
game4,Clip2,483
game4,Clip3,110
game4,Clip4,100
game4,Clip5,223
game4,Clip6,231
game4,Clip7,481
game5,Clip1,189
game5,Clip2,55
game5,Clip3,73
game5,Clip4,245
game5,Clip5,108
game5,Clip6,219
game5,Clip7,192
game5,Clip8,115
game5,Clip9,179
game5,Clip10,108
game5,Clip11,34
game5,Clip12,171
game5,Clip13,41
game5,Clip14,33
game5,Clip15,172
game6,Clip1,594
game6,Clip2,577
game6,Clip3,527
game6,Clip4,283
game7,Clip1,126
game7,Clip2,200
game7,Clip3,45
game7,Clip4,899
game7,Clip5,202
game7,Clip6,103
game7,Clip7,141
game7,Clip8,52
game7,Clip9,95
game8,Clip1,116
game8,Clip2,95
game8,Clip3,411
game8,Clip4,131
game8,Clip5,85
game8,Clip6,129
game8,Clip7,420
game8,Clip8,317
game8,Clip9,236
game9,Clip1,81
game9,Clip2,256
game9,Clip3,357
game9,Clip4,104
game9,Clip5,290
game9,Clip6,107
game9,Clip7,85
game9,Clip8,54
game9,Clip9,221
game10,Clip1,314
game10,Clip2,130
game10,Clip3,186
game10,Clip4,45
game10,Clip5,63
game10,Clip6,290
game10,Clip7,140
game10,Clip8,79
game10,Clip9,47
game10,Clip10,164
game10,Clip11,78
game10,Clip12,584
